,article,cat0,cat1,cat2
2841,List_of_particles,Science,Physics,General_Physics
2842,List_of_popes,People,Religious_figures_and_leaders,
2843,List_of_rivers_by_length,Geography,General_Geography,
2844,List_of_sovereign_states,Geography,General_Geography,
2845,List_of_universities_in_the_United_Kingdom,Citizenship,Education,
2846,List_of_vegetable_oils,Everyday_life,Food_and_agriculture,
2847,List_of_world's_largest_lakes,Geography,General_Geography,
2848,Literacy,Citizenship,Education,
2849,Literature,Language_and_literature,General_Literature,
2850,Lithium,Science,Chemistry,Chemical_elements
2851,Lithium_aluminium_hydride,Science,Chemistry,Chemical_compounds
2852,Lithuania,Countries,,
2853,Lithuania,Geography,European_Geography,European_Countries
2854,Little_Women,Language_and_literature,Novels,
2855,Liverpool,Geography,Geography_of_Great_Britain,
2856,Liverpool_F.C.,Everyday_life,Sports_teams,
2857,Liverpool_and_Manchester_Railway,Design_and_Technology,Railway_transport,
2858,Llandudno,Geography,Geography_of_Great_Britain,
2859,Llywelyn_the_Great,History,British_History,British_History_1500_and_before_including_Roman_Britain
2860,Llywelyn_the_Great,People,Historical_figures,
2861,Local_community,Citizenship,Politics_and_government,
2862,Local_government_in_the_United_Kingdom,Citizenship,Politics_and_government,
2863,Loch,Geography,Geology_and_geophysics,
2864,Loch_Ness,Geography,Geography_of_Great_Britain,
2865,Logba_language,Language_and_literature,Languages,
2866,Logic,Religion,Philosophy,
2867,Logistics,Business_Studies,Business,
2868,Lomé,Geography,African_Geography,
2869,London,Geography,Geography_of_Great_Britain,
2870,London_Bridge,Design_and_Technology,Architecture,
2871,London_Underground,Design_and_Technology,Railway_transport,
2872,London_Zoo,Geography,Geography_of_Great_Britain,
2873,London_sewerage_system,Design_and_Technology,Engineering,
2874,Lone_Wolf_(gamebooks),Everyday_life,Computer_and_Video_games,
2875,Long-billed_Vulture,Science,Biology,Birds
2876,Long-tailed_Tit,Science,Biology,Birds
2877,Long_pepper,Everyday_life,Food_and_agriculture,
2878,Long_pepper,Science,Biology,Plants
2879,Longship,Design_and_Technology,Air_and_Sea_transport,
2880,Longship,History,British_History,British_History_1500_and_before_including_Roman_Britain
2881,Looney_Tunes,Everyday_life,Cartoons,
2882,Lope_de_Barrientos,People,Religious_figures_and_leaders,
2883,Lord's_Resistance_Army,Citizenship,Conflict_and_Peace,
2884,Lord_Voldemort,Everyday_life,Films,
2885,"Los_Angeles,_California",Geography,North_American_Geography,
2886,Lost_(TV_series),Everyday_life,Television,
2887,Lothal,History,Ancient_History_Classical_History_and_Mythology,
2888,Lottie_Dod,People,Sports_and_games_people,
2889,Louis_Armstrong,People,Performers_and_composers,
2890,Louis_Freeh,People,Political_People,
2891,Louis_Jordan,People,Performers_and_composers,
2892,Louis_Pasteur,People,Human_Scientists,
2893,Louis_XIV_of_France,People,Historical_figures,
2894,"Louisville,_Kentucky",Geography,North_American_Geography,
2895,Lovage,Science,Biology,Plants
2896,Love,Everyday_life,Everyday_life,
2897,"Lucy,_Lady_Duff-Gordon",People,Artists,
2898,Ludwig_Wittgenstein,People,Philosophers,
2899,Ludwig_van_Beethoven,People,Performers_and_composers,
2900,Luftwaffe,History,World_War_II,
2901,Luminiferous_aether,Science,Physics,Space_Astronomy
2902,Lunar_eclipse,Science,Physics,Space_Astronomy
2903,Lung_cancer,Science,Biology,Health_and_medicine
2904,Lusaka,Geography,African_Geography,
2905,Lutetium,Science,Chemistry,Chemical_elements
2906,Luxembourg,Countries,,
2907,Luxembourg,Geography,European_Geography,European_Countries
2908,Luxembourg_(city),Geography,European_Geography,
2909,Lyme_disease,Science,Biology,Health_and_medicine
2910,Lyndon_B._Johnson,People,USA_Presidents,
2911,Lynton_and_Barnstaple_Railway,Design_and_Technology,Railway_transport,
2912,Lyon,Geography,European_Geography,
2913,M*A*S*H_(TV_series),Everyday_life,Television,
2914,M-10001,Design_and_Technology,Railway_transport,
2915,M-10003-6,Design_and_Technology,Railway_transport,
2916,M1_motorway,Geography,Geography_of_Great_Britain,
2917,M1_motorway,Design_and_Technology,Road_transport,
2918,M25_motorway,Geography,Geography_of_Great_Britain,
2919,M25_motorway,Design_and_Technology,Road_transport,
2920,M6_motorway,Geography,Geography_of_Great_Britain,
2921,M6_motorway,Design_and_Technology,Road_transport,
2922,MINI_(BMW),Design_and_Technology,Road_transport,
2923,Macau,Geography,Geography_of_Asia,
2924,Macbeth,Language_and_literature,Theatre,
2925,Macbeth_of_Scotland,People,Monarchs_of_Great_Britain,
2926,Macedon,History,Ancient_History_Classical_History_and_Mythology,
2927,Macedon,Geography,European_Geography,
2928,Machu_Picchu,History,Ancient_History_Classical_History_and_Mythology,
2929,Machu_Picchu,Geography,Central_and_South_American_Geography,
2930,Macintosh,IT,Computing_hardware_and_infrastructure,
2931,Mackenzie_River,Geography,North_American_Geography,
2932,Madagascar,Geography,African_Geography,African_Countries
2933,Madagascar,Countries,,
2934,Madama_Butterfly,Language_and_literature,Poetry_and_Opera,
2935,Madrid,Geography,European_Geography,
2936,Magdalena_Abakanowicz,Art,Artists,
2937,Magellanic_Penguin,Science,Biology,Birds
2938,Maghreb,Geography,African_Geography,
2939,Maghreb,Geography,Geography_of_the_Middle_East,
2940,Magic__The_Gathering,Everyday_life,Games,
2941,Maglev_train,Design_and_Technology,Railway_transport,
2942,Magma,Geography,Geology_and_geophysics,
2943,Magna_Carta,History,British_History,British_History_1500_and_before_including_Roman_Britain
2944,Magnesium,Science,Chemistry,Chemical_elements
2945,Magnet,Science,Physics,Electricity_and_Electronics
2946,Magnetism,Science,Physics,Electricity_and_Electronics
2947,Magpie,Science,Biology,Birds
2948,Mahabharata,History,Ancient_History_Classical_History_and_Mythology,
2949,Mahatma_Gandhi,People,Political_People,
2950,Mahjong,Everyday_life,Games,
2951,Mahmoud_Abbas,People,Political_People,
2952,Maiasaura,Science,Biology,Dinosaurs
2953,Maize,Science,Biology,Plants
2954,Makuria,History,General_history,
2955,Malaria,Science,Biology,Health_and_medicine
2956,Malaspina_Glacier,Geography,North_American_Geography,
2957,Malawi,Geography,African_Geography,African_Countries
2958,Malawi,Countries,,
2959,Malaysia,Geography,Geography_of_Asia,Asian_Countries
2960,Malaysia,Countries,,
2961,Malcolm_III_of_Scotland,History,British_History,British_History_1500_and_before_including_Roman_Britain
2962,Malcolm_II_of_Scotland,History,British_History,British_History_1500_and_before_including_Roman_Britain
2963,Malcolm_X,People,Religious_figures_and_leaders,
2964,Maldives,Geography,Geography_of_Asia,Asian_Countries
2965,Maldives,Countries,,
2966,Mali,Geography,African_Geography,African_Countries
2967,Mali,Countries,,
2968,Mallard,Science,Biology,Birds
2969,Malta,Countries,,
2970,Malta,Geography,European_Geography,European_Countries
2971,Malwa_(Madhya_Pradesh),Geography,Geography_of_Asia,
2972,Mamenchisaurus,Science,Biology,Dinosaurs
2973,Mammal,Science,Biology,Mammals
2974,Mammoth,Science,Biology,Dinosaurs
2975,Mammoth_Cave_National_Park,Geography,North_American_Geography,
2976,Mancala,Everyday_life,Games,
2977,Manchester,Geography,Geography_of_Great_Britain,
2978,Manchester_United_F.C.,Everyday_life,Sports_teams,
2979,Mandan,Geography,Peoples,
2980,Manganese,Science,Chemistry,Chemical_elements
2981,Mango,Everyday_life,Food_and_agriculture,
2982,Mango,Science,Biology,Plants
2983,Manifest_Destiny,History,North_American_History,
2984,Manifold,Mathematics,,
2985,Manila,Geography,Geography_of_Asia,
2986,Manorialism,History,British_History,British_History_1500_and_before_including_Roman_Britain
2987,Manuel_I_Komnenos,People,Historical_figures,
2988,Manufacturing,Business_Studies,Business,
2989,Mao_Zedong,People,Political_People,
2990,Map_projection,Geography,General_Geography,
2991,Maputo,Geography,African_Geography,
2992,Marc_Pugh,People,Sports_and_games_people,
2993,Marcel_Lefebvre,People,Religious_figures_and_leaders,
2994,Marcel_Proust,People,Writers_and_critics,
2995,Marco_Polo,People,Geographers_and_explorers,
2996,Marcus_Allen,People,Sports_and_games_people,
2997,Margaret_Sanger,People,Political_People,
2998,Margaret_Thatcher,People,Political_People,
2999,Margate,Geography,Geography_of_Great_Britain,
3000,Margin_of_error,Mathematics,,
3001,Marginated_Tortoise,Science,Biology,Insects_Reptiles_and_Fish
3002,Marie_Curie,People,Chemists,
3003,Mario,Everyday_life,Computer_and_Video_games,
3004,Marjoram,Everyday_life,Food_and_agriculture,
3005,Marjoram,Science,Biology,Plants
3006,Mark_Antony,People,Historical_figures,
3007,Mark_Twain,People,Writers_and_critics,
3008,Mark_Twain_House,Design_and_Technology,Architecture,
3009,Mark_Webber,People,Sports_and_games_people,
3010,Market,Business_Studies,Business,
3011,Markup_language,IT,Computer_Programming,
3012,Mars,Science,Physics,The_Planets
3013,Mars_Exploration_Rover,Science,Physics,Space_transport
3014,Mars_Reconnaissance_Orbiter,Science,Physics,Space_transport
3015,Marseille,Geography,European_Geography,
3016,Marshall_Islands,Geography,Geography_of_Oceania_Australasia,
3017,Marshall_Plan,History,Recent_History,
3018,Marshall_Plan,History,World_War_II,
3019,Martello_tower,History,British_History,British_History_17501900
3020,Martin_Luther,People,Religious_figures_and_leaders,
3021,"Martin_Luther_King,_Jr.",People,Political_People,
3022,Martin_Van_Buren,People,USA_Presidents,
3023,Martina_Navratilova,People,Sports_and_games_people,
3024,Martinique,Geography,Central_and_South_American_Geography,Central_and_South_American_Countries
3025,Martinique,Countries,,
3026,Marvin_Gaye,People,Performers_and_composers,
3027,Marxism,Citizenship,Politics_and_government,
3028,Mary_II_of_England,History,British_History,British_History_15001750
3029,Mary_II_of_England,People,Monarchs_of_Great_Britain,
3030,Mary_I_of_England,History,British_History,British_History_15001750
3031,Mary_I_of_England,People,Monarchs_of_Great_Britain,
3032,Mary_I_of_Scotland,History,British_History,British_History_15001750
3033,Mary_I_of_Scotland,People,Monarchs_of_Great_Britain,
3034,Mary_Kingsley,People,Writers_and_critics,
3035,Mary_Seacole,History,British_History,British_History_17501900
3036,Mary_Somerville,People,Writers_and_critics,
3037,Maseru,Geography,African_Geography,
3038,Mass_Rapid_Transit_(Singapore),Design_and_Technology,Railway_transport,
3039,Mass_media,Citizenship,Media,
3040,Mass_media,Everyday_life,Television,
3041,Massospondylus,Science,Biology,Dinosaurs
3042,Material_properties_of_diamond,Science,Chemistry,Chemical_compounds
3043,Mathematical_analysis,Mathematics,,
3044,Mathematics,Mathematics,,
3045,Matilda_of_Boulogne,History,British_History,British_History_1500_and_before_including_Roman_Britain
3046,Matrix_(mathematics),Mathematics,,
3047,Matsuo_Bashō,People,Writers_and_critics,
3048,Matter,Science,Physics,General_Physics
3049,Matthew_Brettingham,People,Artists,
3050,Mauna_Loa,Geography,Geology_and_geophysics,
3051,Mauna_Loa,Geography,North_American_Geography,
3052,Mauritania,Geography,African_Geography,African_Countries
3053,Mauritania,Countries,,
3054,Mauritius,Geography,African_Geography,African_Countries
3055,Mauritius,Countries,,
3056,Mausoleum_of_Maussollos,History,Ancient_History_Classical_History_and_Mythology,
3057,Mauthausen-Gusen_concentration_camp,History,Military_History_and_War,
3058,Mauthausen-Gusen_concentration_camp,History,World_War_II,
3059,Max_Planck,People,Astronomers_and_physicists,
3060,Max_Weber,People,Human_Scientists,
3061,Maxwell's_equations,Science,Physics,Electricity_and_Electronics
3062,Maya_civilization,History,Ancient_History_Classical_History_and_Mythology,
3063,Maya_mythology,Religion,Myths,
3064,Mayotte,Geography,African_Geography,African_Countries
3065,Mbabane,Geography,African_Geography,
3066,McFly_(band),Music,Performers_and_composers,
3067,Meander,Geography,Geology_and_geophysics,
3068,Measles,Science,Biology,Health_and_medicine
3069,Measurement,Mathematics,,
3070,Meat,Everyday_life,Food_and_agriculture,
3071,Mecca,Religion,Religious_movements_traditions_and_organizations,
3072,Mechanical_work,Science,Physics,General_Physics
3073,Medal_of_Honor,History,Military_History_and_War,
3074,Medicine,Science,Biology,Health_and_medicine
3075,Medieval_commune,History,British_History,British_History_1500_and_before_including_Roman_Britain
3076,Medieval_literature,History,British_History,British_History_1500_and_before_including_Roman_Britain
3077,Medieval_literature,Language_and_literature,Literature_types,
3078,Medieval_music,History,British_History,British_History_1500_and_before_including_Roman_Britain
3079,Medieval_music,Music,Musical_genres_styles_eras_and_events,
3080,Mediterranean_Sea,Geography,General_Geography,
3081,Mega_Man_X_(character),Everyday_life,Computer_and_Video_games,
3082,Meitnerium,Science,Chemistry,Chemical_elements
3083,Mekong,Geography,Geography_of_Asia,
3084,Melbourne,Geography,Geography_of_Oceania_Australasia,
3085,Mendelevium,Science,Chemistry,Chemical_elements
3086,Mendip_Hills,Geography,Geography_of_Great_Britain,
3087,Meningitis,Science,Biology,Health_and_medicine
3088,Menstrual_cycle,Science,Biology,Evolution_and_reproduction
3089,Mentha,Science,Biology,Plants
3090,Menthol,Science,Chemistry,Chemical_compounds
3091,Mercantilism,Business_Studies,Economics,
3092,Mercantilism,Citizenship,Politics_and_government,
3093,Mercia,History,British_History,British_History_1500_and_before_including_Roman_Britain
3094,Mercury_(element),Science,Chemistry,Chemical_elements
3095,Mercury_(planet),Science,Physics,The_Planets
3096,Merrimack_River,Geography,North_American_Geography,
3097,Merseburg_Incantations,Language_and_literature,General_Literature,
3098,Mesopotamia,History,Ancient_History_Classical_History_and_Mythology,
3099,Mestizo,Geography,Peoples,
3100,Metal,Science,Chemistry,General_Chemistry
3101,Metallurgy,Science,Chemistry,Materials_science
3102,Metamorphic_rock,Geography,Geology_and_geophysics,
3103,Meteor,Science,Physics,Space_Astronomy
3104,Meteor_shower,Science,Physics,Space_Astronomy
3105,Meteorological_history_of_Hurricane_Katrina,Geography,Natural_Disasters,
3106,Meteorology,Geography,Climate_and_the_Weather,
3107,Metric_expansion_of_space,Science,Physics,Space_Astronomy
3108,Mexico,Countries,,
3109,Mexico,Geography,North_American_Geography,
3110,Mexico_City,Geography,North_American_Geography,
3111,"Miami,_Florida",Geography,North_American_Geography,
3112,Michael_Faraday,People,Chemists,
3113,Michael_Jordan,People,Sports_and_games_people,
3114,Michael_Ramsey,People,Religious_figures_and_leaders,
3115,Michael_Woodruff,People,Human_Scientists,
3116,Michelangelo,People,Artists,
3117,Michigan_State_University,Geography,North_American_Geography,
3118,Mickey_Mantle,People,Sports_and_games_people,
3119,Microraptor,Science,Biology,Dinosaurs
3120,Microscope,Design_and_Technology,Engineering,
3121,Microsoft,Business_Studies,Companies,
3122,Microsoft,IT,Software,
3123,Microsoft_Windows,IT,Software,
3124,Middle_Ages,History,General_history,
3125,Middle_East,Geography,General_Geography,
3126,Midway_Atoll,Geography,Geography_of_Oceania_Australasia,
3127,Miguel_de_Cervantes,People,Writers_and_critics,
3128,Mikhail_Gorbachev,People,Political_People,
3129,Milan,Geography,European_Geography,
3130,Miles_Davis,People,Performers_and_composers,
3131,Milgram_experiment,Science,Biology,Health_and_medicine
3132,Military_dictatorship,Citizenship,Politics_and_government,
3133,Military_history_of_Canada,History,Military_History_and_War,
3134,Military_history_of_France,History,Military_History_and_War,
3135,Military_history_of_Puerto_Rico,History,Military_History_and_War,
3136,Military_history_of_the_Soviet_Union,History,Military_History_and_War,
3137,Milk,Everyday_life,Drink,
3138,Milk_thistle,Science,Biology,Plants
3139,Milkshake,Everyday_life,Drink,
3140,Milky_Way,Science,Physics,Space_Astronomy
3141,Millard_Fillmore,People,USA_Presidents,
3142,Milton_Keynes,Geography,Geography_of_Great_Britain,
3143,Mind,Religion,Philosophy,
3144,Mineral,Geography,Mineralogy,
3145,Ming_Dynasty,History,Ancient_History_Classical_History_and_Mythology,
3146,Mini,Design_and_Technology,Road_transport,
3147,Minimum_wage,Business_Studies,Economics,
3148,Mining,Business_Studies,Business,
3149,Minmi_(dinosaur),Science,Biology,Dinosaurs
3150,"Minneapolis,_Minnesota",Geography,North_American_Geography,
3151,Minnesota,Geography,North_American_Geography,
3152,Minoan_civilization,History,Ancient_History_Classical_History_and_Mythology,
3153,Minstrel_show,Everyday_life,Television,
3154,Miocene,Geography,Geology_and_geophysics,
3155,Mir,Science,Physics,Space_transport
3156,Mirabilis_(plant),Science,Biology,Plants
3157,Miranda_Otto,People,Actors_models_and_celebrities,
3158,Mississippi_River,Geography,North_American_Geography,
3159,Missouri_River,Geography,North_American_Geography,
3160,Mistle_Thrush,Science,Biology,Birds
3161,Mitochondrial_Eve,Science,Biology,Evolution_and_reproduction
3162,Mitochondrion,Science,Biology,General_Biology
3163,Mixed-breed_dog,Science,Biology,Mammals
3164,Mixtape,Music,Musical_Recordings_and_compositions,
3165,Modern_history,History,General_history,
3166,Modernist_poetry_in_English,Language_and_literature,Poetry_and_Opera,
3167,Mogadishu,Geography,African_Geography,
3168,Mohs_scale_of_mineral_hardness,Geography,Mineralogy,
3169,Moldova,Countries,,
3170,Moldova,Geography,European_Geography,European_Countries
3171,Moldovans,Geography,Peoples,
3172,Mole_(animal),Science,Biology,Mammals
3173,Molybdenum,Science,Chemistry,Chemical_elements
3174,Momentum,Science,Physics,General_Physics
3175,Mona_Lisa,Art,Art,
3176,Monaco,Countries,,
3177,Monaco,Geography,European_Geography,European_Countries
3178,Monaco_Grand_Prix,Everyday_life,Sports_events,
3179,Monarchies_in_the_European_Union,Citizenship,Politics_and_government,
3180,Monarchy,Citizenship,Politics_and_government,
3181,Monarda_didyma,Science,Biology,Plants
3182,Money,Business_Studies,Currency,
3183,Mongol_Empire,History,Ancient_History_Classical_History_and_Mythology,
3184,Mongol_invasion_of_Central_Asia,History,Ancient_History_Classical_History_and_Mythology,
3185,Mongolia,Geography,Geography_of_Asia,
3186,Mongoose,Science,Biology,Mammals
3187,Monkey,Science,Biology,Mammals
3188,Monoclonius,Science,Biology,Dinosaurs
3189,Monopoly_(game),Everyday_life,Games,
3190,Monrovia,Geography,African_Geography,
3191,Montenegro,Countries,,
3192,Montenegro,Geography,European_Geography,European_Countries
3193,Montevideo,Geography,Central_and_South_American_Geography,
3194,Montreal,Geography,North_American_Geography,
3195,Montreal_Metro,Design_and_Technology,Railway_transport,
3196,Montserrat,Geography,Central_and_South_American_Geography,Central_and_South_American_Countries
3197,Montserrat,Countries,,
3198,Monty_Python,Everyday_life,Television,
3199,Moon,Science,Physics,Space_Astronomy
3200,Moon_landing,Science,Physics,Space_transport
3201,Moore's_Law,IT,Computing_hardware_and_infrastructure,
3202,Moorgate,Geography,Geography_of_Great_Britain,
3203,Moorhen,Science,Biology,Birds
3204,Morecambe_Bay,Geography,Geography_of_Great_Britain,
3205,Morecambe_and_Wise,Everyday_life,Television,
3206,Moringa_oleifera,Science,Biology,Plants
3207,Mormon,Religion,Religious_movements_traditions_and_organizations,
3208,Mormon_Trail,History,North_American_History,
3209,Morocco,Geography,African_Geography,African_Countries
3210,Morocco,Countries,,
3211,Morphine,Science,Chemistry,Chemical_compounds
3212,Morphine,Science,Biology,Health_and_medicine
3213,Morris_dance,Everyday_life,Recreation,
3214,Mosaic,Art,Art,
3215,Moscow,Geography,Geography_of_Great_Britain,
3216,Mosque,Religion,Religious_movements_traditions_and_organizations,
3217,Moss,Science,Biology,Plants
3218,Mother_Teresa,People,Religious_figures_and_leaders,
3219,Motion_(physics),Science,Physics,General_Physics
3220,Mount_Baker,Geography,North_American_Geography,
3221,Mount_Everest,Geography,General_Geography,
3222,Mount_Everest,Geography,Geography_of_Asia,
3223,Mount_Kilimanjaro,Geography,African_Geography,
3224,Mount_Nyiragongo,Geography,African_Geography,
3225,"Mount_Osmond,_South_Australia",Geography,Geography_of_Oceania_Australasia,
3226,Mount_Pinatubo,Geography,Geography_of_Asia,
3227,Mount_Rainier,Geography,North_American_Geography,
3228,Mount_Rushmore,Geography,North_American_Geography,
3229,Mount_St._Helens,Geography,North_American_Geography,
3230,Mount_Unzen,Geography,Geography_of_Asia,
3231,Mount_Vesuvius,Geography,European_Geography,
3232,Mountain_Gorilla,Science,Biology,Mammals
3233,Mozambique,Geography,African_Geography,African_Countries
3234,Mozambique,Countries,,
3235,Mozilla_Firefox,IT,Software,
3236,Mu_Arae,Science,Physics,Space_Astronomy
3237,Muhammad,People,Religious_figures_and_leaders,
3238,Muhammad_Ali,People,Sports_and_games_people,
3239,Muhammad_Ali_Jinnah,People,Political_People,
3240,Muhammad_Iqbal,People,Writers_and_critics,
3241,Muhammad_ibn_Musa_al-Khwarizmi,People,Astronomers_and_physicists,
3242,Multiculturalism,Citizenship,Culture_and_Diversity,
3243,Multiple_sclerosis,Science,Biology,Health_and_medicine
3244,Multiple_sequence_alignment,Science,Biology,General_Biology
3245,Mumbai,Geography,Geography_of_Asia,
3246,Mummy,History,Archaeology,
3247,Munich,Geography,European_Geography,
3248,Murray_River,Geography,Geography_of_Oceania_Australasia,
3249,"Muscat,_Oman",Geography,Geography_of_the_Middle_East,
3250,Music,Music,Musical_genres_styles_eras_and_events,
3251,Music_of_Albania,Music,Musical_genres_styles_eras_and_events,
3252,Music_of_Antigua_and_Barbuda,Music,Musical_genres_styles_eras_and_events,
3253,Music_of_Barbados,Music,Musical_genres_styles_eras_and_events,
3254,Music_of_Dominica,Music,Musical_genres_styles_eras_and_events,
3255,Music_of_Hawaii,Music,Musical_genres_styles_eras_and_events,
3256,Music_of_Hungary,Music,Musical_genres_styles_eras_and_events,
3257,Music_of_Ireland,Music,Musical_genres_styles_eras_and_events,
3258,Music_of_Italy,Music,Musical_genres_styles_eras_and_events,
3259,Music_of_Martinique_and_Guadeloupe,Music,Musical_genres_styles_eras_and_events,
3260,Music_of_New_Zealand,Music,Musical_genres_styles_eras_and_events,
3261,Music_of_Spain,Music,Musical_genres_styles_eras_and_events,
3262,Music_of_Thailand,Music,Musical_genres_styles_eras_and_events,
3263,Music_of_Trinidad_and_Tobago,Music,Musical_genres_styles_eras_and_events,
3264,Music_of_the_Bahamas,Music,Musical_genres_styles_eras_and_events,
3265,Music_of_the_Lesser_Antilles,Music,Musical_genres_styles_eras_and_events,
3266,Music_of_the_United_States,Music,Musical_genres_styles_eras_and_events,
3267,Music_of_the_trecento,Music,Musical_genres_styles_eras_and_events,
3268,Musical_instrument,Music,Musical_Instruments,
3269,Mustard_plant,Science,Biology,Plants
3270,Mustard_seed,Everyday_life,Food_and_agriculture,
3271,Muttaburrasaurus,Science,Biology,Dinosaurs
3272,Myanmar,Geography,Geography_of_Asia,Asian_Countries
3273,Myanmar,Countries,,
3274,Myco-heterotrophy,Science,Biology,General_Biology
3275,Myers-Briggs_Type_Indicator,Science,Biology,Health_and_medicine
3276,Myocardial_infarction,Science,Biology,Health_and_medicine
3277,Mysticism,Religion,Philosophy,
3278,Mythology,Language_and_literature,Literature_types,
3279,Myxobolus_cerebralis,Science,Biology,Insects_Reptiles_and_Fish
3280,NATO,Citizenship,Politics_and_government,
3281,Nadia_Comăneci,People,Sports_and_games_people,
3282,Nagorno-Karabakh_War,History,Recent_History,
3283,Nahuatl_language,Language_and_literature,Languages,
3284,Nairobi,Geography,African_Geography,
3285,Naked_Mole_Rat,Science,Biology,Mammals
3286,Names_of_God_in_Judaism,Religion,Divinities,
3287,Namibia,Geography,African_Geography,African_Countries
3288,Namibia,Countries,,
3289,Nanomedicine,Science,Biology,Health_and_medicine
3290,Napoleon_I_of_France,People,Historical_figures,
3291,Napoleonic_Wars,History,Pre_1900_Military,
3292,Napster,IT,Websites_and_the_Internet,
3293,Nash_equilibrium,Mathematics,,
3294,"Nashville,_Tennessee",Geography,North_American_Geography,
3295,Natalie_Portman,People,Actors_models_and_celebrities,
3296,Nathu_La,Geography,Geography_of_Asia,
3297,National_Anthem_of_Russia,Music,Musical_Recordings_and_compositions,
3298,"National_Gallery,_London",Design_and_Technology,Architecture,
3299,"National_Gallery,_London",Art,Art,
3300,National_Hockey_League,Everyday_life,Sports_events,
3301,National_parks_of_England_and_Wales,Geography,Geography_of_Great_Britain,
3302,Nationalism,Citizenship,Culture_and_Diversity,
3303,Nationalism,Citizenship,Politics_and_government,
3304,Nationality,Citizenship,Culture_and_Diversity,
3305,Natural_disaster,Geography,Geology_and_geophysics,
3306,Natural_gas,Business_Studies,Business,
3307,Natural_gas,Science,Chemistry,Chemical_compounds
3308,Natural_selection,Science,Biology,Evolution_and_reproduction
3309,Nature,Science,Biology,General_Biology
3310,Nauru,Geography,Geography_of_Oceania_Australasia,
3311,Naval_Battle_of_Guadalcanal,History,World_War_II,
3312,Navassa_Island,Geography,North_American_Geography,
3313,Nazi_Germany,History,World_War_II,
3314,Nazism,History,World_War_II,
3315,Necktie,Everyday_life,Everyday_life,
3316,Negros_Oriental,Geography,Geography_of_Asia,
3317,Neighbours,Everyday_life,Television,
3318,Neil_Armstrong,People,Geographers_and_explorers,
3319,Neil_Young,People,Performers_and_composers,
3320,Nelson_Mandela,People,Political_People,
3321,Nematode,Science,Biology,Organisms
3322,Neoclassicism,Art,Art,
3323,Neodymium,Science,Chemistry,Chemical_elements
3324,Neon,Science,Chemistry,Chemical_elements
3325,Nepal,Geography,Geography_of_Asia,Asian_Countries
3326,Nepal,Countries,,
3327,Nepenthes_rajah,Science,Biology,Plants
3328,Nephron,Science,Biology,Health_and_medicine
3329,Neptune,Science,Physics,The_Planets
3330,Neptunium,Science,Chemistry,Chemical_elements
3331,Netball,Everyday_life,Sports,
3332,Netherlands,Countries,,
3333,Netherlands,Geography,European_Geography,European_Countries
3334,Netherlands_Antilles,Geography,Central_and_South_American_Geography,Central_and_South_American_Countries
3335,Netherlands_Antilles,Countries,,
3336,Neutron,Science,Physics,General_Physics
3337,New_Caledonia,Geography,Geography_of_Oceania_Australasia,
3338,New_Delhi,Geography,Geography_of_Asia,
3339,New_England_Patriots,Everyday_life,Sports_teams,
3340,New_Forest,Geography,Geography_of_Great_Britain,
3341,New_York_City,Geography,North_American_Geography,
3342,New_York_City_Subway_nomenclature,Design_and_Technology,Railway_transport,
3343,New_Zealand,Countries,,
3344,New_Zealand,Geography,Geography_of_Oceania_Australasia,
3345,New_moon,Science,Physics,Space_Astronomy
3346,"Newark,_New_Jersey",Geography,North_American_Geography,
3347,Newcastle_upon_Tyne,Geography,Geography_of_Great_Britain,
3348,Newmarket,Geography,Geography_of_Great_Britain,
3349,Newshounds,Everyday_life,Cartoons,
3350,Newspaper,Citizenship,Media,
3351,Newsround,Everyday_life,Television,
3352,Niagara_Falls,Geography,North_American_Geography,
3353,Nicaragua,Geography,Central_and_South_American_Geography,Central_and_South_American_Countries
3354,Nicaragua,Countries,,
3355,Niccolò_Machiavelli,People,Philosophers,
3356,Niccolò_Paganini,People,Performers_and_composers,
3357,Niccolò_dell'Abbate,Art,Artists,
3358,Nickel,Science,Chemistry,Chemical_elements
3359,Nicobar_Long-tailed_Macaque,Science,Biology,Mammals
3360,Nicolaus_Copernicus,People,Astronomers_and_physicists,
3361,Niels_Bohr,People,Astronomers_and_physicists,
3362,Nigella,Science,Biology,Plants
3363,Niger,Geography,African_Geography,African_Countries
3364,Niger,Countries,,
3365,Niger_River,Geography,African_Geography,
3366,Nigeria,Geography,African_Geography,African_Countries
3367,Nigeria,Countries,,
3368,Nightingale,Science,Biology,Birds
3369,Nikola_Tesla,People,Astronomers_and_physicists,
3370,Nikola_Tesla,People,Engineers_and_inventors,
3371,Nikolai_Rimsky-Korsakov,People,Performers_and_composers,
3372,Nile,Geography,African_Geography,
3373,Nine_Million_Bicycles,Music,Musical_Recordings_and_compositions,
3374,Nineteen_Eighty-Four,Language_and_literature,Novels,
3375,Nintendo,Business_Studies,Companies,
3376,Nintendo,Everyday_life,Computer_and_Video_games,
3377,Nintendo_DS,Everyday_life,Computer_and_Video_games,
3378,Nintendo_Entertainment_System,Everyday_life,Computer_and_Video_games,
3379,Niobium,Science,Chemistry,Chemical_elements
3380,Nirvana_(band),Music,Performers_and_composers,
3381,Nitrification,Science,Chemistry,General_Chemistry
3382,Nitrification,Geography,Geology_and_geophysics,
3383,Nitrogen,Science,Chemistry,Chemical_elements
